year,month,day,hour,latitude,longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,attack
2015,1,19,6.0,-28.7,153.9,28.0,7.7,1.0,6.0,1.5,8.0,0
2011,9,30,8.0,18.22,-67.16,30.6,1.0,,,,,0
2012,8,11,7.57,-31.95,115.57,18.9,,,,,,0
2014,4,22,5.33,28.5,-80.2,23.8,6.0,,,,,0
2014,8,28,23.0,38.02,-74.91,24.0,4.4,,,,,0
2015,5,15,21.9,32.6,-79.6,22.5,7.2,,,,,0
2015,6,23,14.6,32.04,-80.9,29.6,3.6,,,,,0
2015,6,30,0.0,-35.29,150.75,20.0,,,,,,0
2015,9,3,8.68,33.7,-78.0,28.1,,0.5,4.0,,,0
2017,4,29,22.0,32.6,-79.6,22.0,6.2,1.0,4.0,,,0
2012,5,12,13.12,35.2,-120.9,11.8,,1.0,10.0,0.5,11.0,0
2013,8,14,9.0,20.9,-156.47,26.5,5.7,,,,,0
2015,1,19,0.3,29.72,-84.98,12.2,0.5,,,,,0
2016,3,4,11.48,26.94,-79.81,25.2,,,,,,0
2016,12,1,12.0,-32.6,152.8,23.4,15.4,1.5,12.0,1.5,12.0,0
2011,10,29,4.07,36.4,-122.2,15.3,,1.5,6.0,2.0,14.0,0
2016,1,25,11.9,21.95,-159.36,25.6,2.6,,,,,0
2016,1,28,3.5,21.95,-159.36,25.6,1.5,,,,,0
2016,3,28,14.0,27.07,-82.45,24.0,4.6,,,,,0
2011,7,7,17.0,28.45,-96.4,30.4,3.6,,,,,0
2011,10,11,2.83,28.5,-80.2,27.8,6.8,2.5,10.0,,,0
2012,1,13,19.0,44.63,-124.04,7.2,3.5,,,,,0
2014,4,4,9.0,28.42,-80.59,22.9,2.6,,,,,0
2015,1,6,22.5,26.94,-77.23,25.3,,,,,,0
2015,9,19,6.83,34.3,-120.5,21.0,7.0,1.5,5.0,2.0,11.0,0
2016,5,15,15.0,26.61,-80.03,26.9,6.2,,,,,0
2016,10,14,20.0,20.7,-156.7,27.6,5.1,,,,,0
2017,3,1,12.0,24.6,-76.0,25.5,12.3,1.0,2.0,1.0,2.0,0
2017,6,18,23.5,32.04,-80.9,28.3,5.1,,,,,0
2013,2,10,8.6,27.6,-80.2,23.0,,1.0,6.0,0.5,11.0,0
2013,9,12,0.0,28.42,-80.59,29.4,2.1,,,,,0
2015,6,19,2.57,18.4,-67.3,28.4,,0.5,6.0,,,0
2015,8,29,2.83,35.0,-121.0,17.8,6.0,0.5,6.0,1.0,15.0,0
2016,1,24,0.0,25.3,56.5,24.0,1.5,,,,,0
2016,9,18,15.0,28.42,-80.59,29.3,1.0,,,,,0
2017,6,10,13.7,28.42,-80.59,23.7,1.5,,,,,0
2011,9,24,3.0,33.66,-78.92,25.4,3.1,,,,,0
2011,12,31,1.0,26.7,-80.1,22.0,0.5,,,,,0
2012,4,19,18.0,-33.8,18.4,10.0,14.4,1.0,5.0,1.5,8.0,0
2012,8,4,0.0,-15.4,-147.2,29.7,7.7,,,,,0
2012,10,18,12.0,28.8,-80.3,27.0,4.1,1.0,5.0,1.5,7.0,0
2014,5,10,0.0,27.5,-79.9,28.0,9.8,0.5,3.0,,,0
2014,10,17,0.0,-34.0,151.3,15.2,15.4,1.0,6.0,1.5,7.0,0
2015,11,1,8.83,28.5,-80.2,26.5,4.0,0.5,3.0,1.0,10.0,0
2016,8,4,11.0,28.42,-80.59,29.6,3.1,,,,,0
2016,2,10,8.0,19.2,-80.6,26.3,12.3,1.0,3.0,1.5,5.0,0
2013,1,13,12.0,-36.8,176.1,18.0,6.0,,,,,0
2014,9,6,5.0,30.65,-88.06,30.4,1.0,,,,,0
2015,9,6,14.37,33.9,-118.6,21.8,,1.0,7.0,1.0,18.0,0
2016,4,7,20.0,26.61,-80.03,25.5,4.1,,,,,0
2011,5,25,0.0,20.04,-155.83,27.7,5.0,,,,,0
2012,10,27,8.0,20.9,-156.47,26.2,5.7,,,,,0
2013,7,7,0.0,41.6,3.2,19.9,6.7,,,,,0
2013,10,23,7.17,20.8,-157.0,27.4,,0.5,10.0,0.5,11.0,0
2015,11,3,5.4,19.73,-155.06,26.9,2.1,,,,,0
2017,1,24,0.0,-7.6,-34.4,28.0,10.8,1.5,,,,0
2017,6,4,0.0,25.35,-81.1,30.0,,,,,,0
2011,10,28,15.0,57.8,-2.6,11.9,8.7,,,,,0
2013,2,9,16.0,-16.7,-151.4,28.8,,,,,,0
2013,3,21,23.0,25.4,-76.4,24.5,8.0,0.5,2.0,,,0
2016,7,6,0.75,27.86,-80.45,29.0,6.2,,,,,0
2012,2,26,0.0,27.0,-79.3,25.0,17.5,3.5,6.0,,,0
2012,9,8,12.1,27.6,-80.2,26.7,,0.5,10.0,1.0,13.0,0
2013,7,31,22.0,20.88,-156.7,27.5,8.9,,,,,0
2014,10,3,22.83,34.3,-119.9,21.4,3.0,,,,,0
2016,6,23,13.0,-35.27,21.0,16.1,,,,,,0
2012,5,6,14.43,33.6,-118.3,16.5,,1.0,10.0,0.5,11.0,0
2012,12,19,18.0,-32.2,115.8,22.4,6.2,,,,,0
2015,6,25,2.2,35.8,-75.55,27.2,3.1,,,,,0
2015,9,20,7.9,29.8,-81.55,26.4,,,,,,0
2015,10,21,20.0,28.42,-80.59,25.4,5.1,,,,,0
2011,3,29,23.22,28.67,-95.68,21.3,,,,,,0
2012,10,18,18.22,20.8,-157.0,26.3,,1.0,7.0,0.5,13.0,0
2017,1,13,3.0,27.6,-80.2,23.1,,1.0,10.0,0.5,11.0,0
2017,5,28,0.0,26.61,-80.03,28.6,,,,,,0
2012,9,4,1.0,28.4,-80.6,27.0,2.1,,,,,0
2013,8,11,3.0,32.1,-79.7,28.0,9.3,1.0,10.0,,,0
2014,7,5,18.0,33.7,-118.2,18.9,3.6,,,,,0
2015,7,23,13.37,32.5,-117.4,22.1,,0.5,9.0,0.5,12.0,0
2015,10,28,11.07,21.7,-158.1,26.2,,1.5,10.0,3.5,18.0,0
2012,1,22,16.0,24.7,-75.5,25.1,4.1,0.5,1.0,1.5,3.0,0
2012,2,6,0.0,-26.7,153.9,28.0,3.1,0.5,2.0,1.0,2.0,0
2012,2,25,17.0,-33.3,151.8,25.0,12.9,1.0,5.0,,,0
2012,3,14,4.0,28.42,-80.59,22.3,2.1,,,,,0
2013,7,11,10.98,33.7,-78.0,28.4,,1.5,5.0,,,0
2014,9,3,21.83,42.3,-70.7,20.6,2.0,0.5,6.0,,,0
2015,1,17,10.0,-33.3,152.1,25.0,7.2,,,,,0
2015,5,3,4.0,-32.2,152.7,24.3,5.1,2.0,6.0,,,0
2015,7,26,23.0,32.78,-79.92,29.4,5.1,,,,,0
2017,8,10,12.83,31.4,-80.9,27.9,4.0,0.5,3.0,0.5,8.0,0
2012,10,19,6.0,27.9,-80.6,24.4,6.7,1.5,3.0,,,0
2013,4,14,6.0,-34.6,18.2,14.5,6.7,1.0,2.0,1.0,2.0,0
2014,5,11,19.83,31.4,-80.9,24.5,4.0,0.5,4.0,0.5,6.0,0
2016,6,21,20.17,28.4,-80.5,28.4,,1.0,5.0,,,0
2011,8,16,22.0,-17.5,-149.5,27.2,5.7,,,,,0
2012,1,18,9.0,-33.3,152.1,24.8,7.7,,,,,0
2013,7,15,23.5,-21.36,55.91,23.9,,,,,,0
2014,9,13,11.85,36.6,-121.9,16.0,,0.5,10.0,0.5,11.0,0
2015,5,7,9.33,28.5,-80.2,25.1,7.0,,,,,0
2011,5,13,14.0,29.8,-81.3,25.1,4.1,,,,,0
2013,5,4,16.0,27.86,-80.45,24.9,5.1,,,,,0
2014,8,27,4.0,38.7,0.4,25.0,12.3,,,,,0
2015,10,13,10.88,35.2,-120.9,17.8,,1.5,10.0,1.0,11.0,0
2017,4,10,23.35,28.4,-80.5,22.9,,0.5,5.0,,,0
2011,6,14,20.0,50.1,-6.1,14.1,9.3,0.5,7.0,,,0
2011,7,13,12.0,26.4,-79.0,30.0,6.7,2.0,5.0,1.5,3.0,0
2011,8,31,14.0,30.4,-81.43,28.6,4.4,,,,,0
2012,6,20,1.65,-31.98,115.25,22.3,,,,,,0
2012,10,16,15.0,27.3,-79.9,29.0,7.7,,,,,0
2012,11,30,8.8,21.0,-156.4,24.4,,1.5,10.0,2.0,12.0,0
2014,10,7,17.83,28.5,-80.2,28.9,1.0,0.5,11.0,0.5,11.0,0
2015,7,4,2.0,34.21,-77.79,26.7,6.7,,,,,0
2015,10,4,11.0,28.42,-80.59,28.2,3.1,,,,,0
2015,10,5,9.0,29.3,-94.5,26.3,11.3,2.0,4.0,,,0
2016,7,8,5.4,36.61,-121.89,14.3,4.1,,,,,0
2013,6,25,13.0,32.78,-79.93,28.1,3.1,,,,,0
2014,1,1,9.0,-46.6,167.9,14.0,10.3,1.0,2.0,2.0,5.0,0
2011,10,1,3.0,30.6,-88.0,26.0,5.1,1.0,0.0,1.0,0.0,0
2012,9,2,18.72,20.8,-157.0,25.3,,0.5,10.0,0.5,13.0,0
2012,9,2,14.0,28.42,-80.59,27.9,4.1,,,,,0
2013,7,28,1.57,27.65,-78.29,27.9,,,,,,0
2016,2,12,7.0,19.0,-68.3,26.0,6.2,1.0,2.0,1.0,3.0,0
2017,3,7,17.0,26.06,-97.22,21.8,5.1,,,,,0
2017,7,20,9.0,34.2,-119.4,18.9,,1.0,6.0,0.5,11.0,0
2012,11,19,22.25,28.4,-80.5,20.5,,1.0,10.0,0.5,11.0,0
2013,1,16,13.77,19.8,-155.0,24.5,,1.5,10.0,1.0,11.0,0
2014,6,9,18.0,-35.2,138.1,15.2,,,,0.5,1.0,0
2015,6,26,1.0,32.04,-80.9,29.7,2.6,,,,,0
2015,9,20,3.0,28.42,-80.59,27.8,2.1,,,,,0
2011,5,30,12.5,29.0,-94.9,26.6,10.0,,,,,0
2012,1,27,2.58,20.66,-157.17,24.6,,,,,,0
2014,8,8,5.0,29.79,-90.42,32.1,0.5,,,,,0
2015,10,19,4.0,26.1,-80.0,29.0,14.4,,,,,0
2017,4,29,20.97,33.2,-117.4,16.3,,1.0,10.0,0.5,20.0,0
2017,7,29,17.13,32.8,-79.6,28.7,8.0,,,,,0
2014,8,25,0.0,30.15,-85.67,31.5,4.6,,,,,0
2015,2,5,0.0,-33.2,151.7,25.0,10.3,2.0,5.0,3.0,7.0,0
2012,12,25,12.0,-31.3,30.2,26.0,16.5,3.5,5.0,3.5,6.0,0
2014,4,3,0.0,-37.0,150.3,23.0,18.0,,,,,0
2014,5,15,22.0,28.2,-80.3,25.0,8.7,2.5,5.0,,,0
2015,4,29,19.0,20.9,-156.47,25.0,10.3,,,,,0
2016,7,27,16.8,24.56,-81.81,30.5,5.1,,,,,0
2011,6,12,17.0,26.61,-80.03,28.4,4.6,,,,,0
2011,9,11,0.43,-10.41,148.33,24.7,,,,,,0
2011,11,22,21.2,36.6,-121.9,12.7,,0.5,10.0,0.5,11.0,0
2014,8,27,22.03,33.91,-78.15,27.6,3.1,,,,,0
2015,3,21,20.0,25.1,35.8,23.5,7.2,,,,,0
2015,7,8,23.12,33.5,-117.8,21.8,,0.5,6.0,0.5,18.0,0
2016,3,31,13.25,20.8,-157.0,25.1,,1.0,10.0,1.5,14.0,0
2011,9,28,20.67,-34.39,18.29,16.5,,,,,,0
2015,5,9,0.0,-20.88,166.49,26.6,,,,,,0
2015,9,17,11.4,30.19,-81.69,26.7,3.6,,,,,0
2015,12,26,12.0,-29.7,31.5,28.0,8.2,2.5,8.0,2.5,8.0,0
2016,2,19,19.0,-22.4,166.7,26.0,8.7,1.0,3.0,1.0,3.0,0
2016,7,14,6.0,25.6,-77.4,26.0,7.2,1.0,1.0,1.0,1.0,0
2016,7,16,8.9,28.42,-80.59,31.0,2.1,,,,,0
2017,7,20,9.0,34.2,-119.4,18.9,,1.0,6.0,0.5,11.0,0
2014,8,27,4.0,34.0,-77.4,27.0,9.0,,,,,0
2015,6,30,22.83,32.5,-79.1,28.3,9.0,1.0,4.0,0.5,7.0,0
2016,4,7,4.7,24.56,-81.81,26.2,1.5,,,,,0
2011,6,29,13.0,-8.5,-34.6,27.0,5.1,1.5,7.0,1.5,9.0,0
2012,1,3,10.0,-33.6,151.8,23.0,17.0,3.0,4.0,,,0
2012,9,2,14.0,28.42,-80.59,27.9,4.1,,,,,0
2014,5,1,6.0,28.42,-80.59,25.4,3.1,,,,,0
2015,3,18,21.3,19.73,-155.06,24.3,5.7,,,,,0
2015,4,3,23.0,26.61,-80.03,25.7,4.6,,,,,0
2016,2,22,8.0,-22.4,166.1,28.0,20.6,2.5,5.0,3.0,6.0,0
2017,2,24,12.0,-31.9,115.6,21.9,10.3,2.0,3.0,4.0,7.0,0
2013,1,21,17.0,-27.0,153.3,26.9,5.1,,,,,0
2016,3,11,13.0,27.86,-80.45,21.5,8.2,,,,,0
2017,5,27,12.0,-29.2,153.9,27.0,8.2,1.0,5.0,1.5,6.0,0
2011,9,4,9.65,21.4,-157.7,25.9,,1.5,7.0,0.5,11.0,0
2011,11,11,6.0,-20.6,55.3,25.5,9.3,2.0,9.0,1.5,10.0,0
2013,7,19,19.0,30.65,-88.06,29.5,7.7,,,,,0
2013,9,29,17.0,27.86,-80.45,28.0,3.1,,,,,0
2011,1,20,12.0,-28.8,153.7,26.3,9.8,0.5,1.0,,,0
2012,10,30,13.83,40.7,-124.6,12.9,7.0,0.5,3.0,2.0,11.0,0
2014,9,2,17.92,27.6,-80.2,30.4,,0.5,10.0,0.5,13.0,0
2016,5,21,4.0,30.19,-81.69,27.1,2.1,,,,,0
2011,7,19,3.0,35.0,-75.2,28.0,5.1,,,,,0
2012,8,26,1.67,-7.95,-34.31,25.4,,,,,,0
2012,9,24,8.83,28.5,-80.2,28.4,6.4,1.0,11.0,,,0
2014,5,6,19.83,31.4,-80.9,23.0,4.0,0.5,4.0,,,0
2014,8,29,18.0,28.42,-80.59,29.4,4.1,,,,,0
2014,10,20,19.5,20.8,-157.0,27.6,,1.0,7.0,0.5,13.0,0
2012,4,3,17.17,21.4,-157.7,24.1,,1.5,10.0,1.0,12.0,0
2013,5,27,6.0,30.1,-81.0,25.0,7.2,3.0,6.0,3.0,6.0,0
2013,11,7,1.0,40.47,-74.01,12.9,,,,,,0
2013,11,12,0.0,-32.1,115.67,20.0,,,,,,0
2012,7,7,2.35,36.6,-121.9,13.8,,0.5,10.0,0.5,11.0,0
2013,6,18,17.48,19.99,-156.16,24.8,,,,,,0
2014,7,27,5.03,33.91,-78.15,29.4,8.2,,,,,0
2011,7,13,4.0,26.2,-96.5,27.5,8.0,,,,,0
2011,10,10,7.0,46.21,-123.77,17.7,1.5,,,,,0
2014,9,21,5.0,28.42,-80.59,28.7,4.6,,,,,0
2015,9,5,8.58,34.0,-119.3,21.4,,0.5,10.0,0.5,18.0,0
2015,11,15,0.0,26.8,-79.7,31.4,10.3,2.0,6.0,3.0,8.0,0
2011,5,22,10.0,20.04,-155.83,27.4,9.3,,,,,0
2013,8,13,15.0,20.9,-156.47,26.4,4.1,,,,,0
2015,11,15,0.0,26.8,-79.7,31.4,10.3,2.0,6.0,3.0,8.0,0
2017,5,30,21.0,32.78,-79.92,26.7,3.1,,,,,0
2012,6,15,14.0,24.4,-81.3,31.0,2.6,0.5,2.0,,,0
2012,9,6,17.83,30.0,-80.5,28.9,2.8,1.0,12.0,,,0
2013,10,10,19.0,30.21,-85.88,27.0,3.1,,,,,0
2013,11,10,10.0,25.5,-76.4,27.0,15.9,4.5,3.0,4.0,4.0,0
2014,8,31,12.0,28.42,-80.59,29.5,1.0,,,,,0
2015,7,4,6.0,26.2,-78.4,28.0,9.8,2.5,4.0,2.0,3.0,0
2011,7,7,8.83,27.0,-96.7,29.2,5.1,0.5,3.0,,,0
2013,7,28,0.57,26.45,-76.71,28.2,,,,,,0
2014,3,22,19.0,26.1,-80.1,26.0,4.6,0.0,0.0,0.0,0.0,0
2016,4,13,7.0,26.6,-79.4,26.0,5.1,1.0,2.0,,,0
2016,6,14,4.2,29.36,-94.73,29.4,,,,,,0
2011,9,16,0.0,29.2,-80.2,30.0,3.6,0.5,1.0,1.0,3.0,0
2013,9,14,13.83,30.1,-87.6,29.5,6.0,0.5,3.0,0.5,6.0,0
2015,4,26,13.0,25.71,-81.25,29.6,,,,,,0
2015,9,29,18.9,29.8,-81.55,27.5,,,,,,0
2016,6,15,1.0,21.48,-159.51,25.6,,,,,,0
2017,4,17,0.0,29.86,-81.27,23.6,5.7,,,,,0
2014,6,7,4.0,29.48,-94.92,26.5,4.6,,,,,0
2014,8,9,10.83,28.5,-80.2,28.4,5.0,0.5,8.0,0.5,8.0,0
2016,7,7,3.37,33.9,-118.6,20.8,,0.5,6.0,0.5,13.0,0
2012,4,19,19.85,28.4,-80.5,24.1,,0.5,5.0,0.5,14.0,0
2014,3,18,17.0,-38.3,144.8,18.8,,,,,,0
2015,6,27,0.5,35.8,-75.3,25.1,,1.0,7.0,,,0
2016,4,19,6.0,-29.5,153.7,28.0,7.7,0.5,5.0,2.5,9.0,0
2011,11,28,20.0,-27.4,153.2,26.8,8.2,,,,,0
2013,10,26,8.0,-31.9,115.5,20.9,7.7,0.5,4.0,1.0,9.0,0
2014,7,16,15.0,20.8,-157.0,26.2,,0.5,8.0,1.0,15.0,0
2015,5,29,4.83,28.5,-80.2,26.8,5.0,0.5,4.0,1.0,8.0,0
2017,4,11,18.0,29.86,-81.27,22.0,6.2,,,,,0
2012,5,9,1.25,28.4,-80.5,25.3,,0.5,10.0,,,0
2013,7,17,5.83,30.0,-80.5,27.1,4.0,0.5,3.0,1.0,6.0,0
2013,9,7,15.0,28.42,-80.59,28.9,1.5,,,,,0
2014,8,2,0.83,28.5,-80.2,28.1,6.0,0.5,3.0,0.5,8.0,0
2014,10,31,7.93,20.65,-156.01,26.9,,,,,,0
2016,8,7,6.0,25.4,-77.3,29.0,8.7,1.0,3.0,0.5,1.0,0
2016,8,29,12.0,29.0,-80.2,30.0,7.7,1.5,3.0,,,0
2011,6,1,0.0,5.7,100.0,27.0,4.1,,,,,0
2011,10,20,14.83,44.6,-124.5,14.3,2.6,1.5,10.0,,,0
2012,7,24,21.0,34.1,-77.7,28.3,9.0,,,,,0
2012,9,6,14.0,30.67,-81.47,29.4,2.6,,,,,0
2012,9,16,3.33,28.5,-80.2,27.8,5.9,,,,,0
2013,9,21,17.83,30.0,-80.5,28.8,2.0,1.0,11.0,1.0,11.0,0
2011,10,2,23.0,27.76,-82.63,29.4,2.6,,,,,0
2013,11,29,15.35,21.0,-156.4,25.6,,2.0,6.0,2.0,17.0,0
2014,8,5,4.83,28.5,-80.2,27.3,8.0,1.0,5.0,1.5,12.0,0
2017,8,23,17.07,41.8,-70.3,20.6,,0.0,,,,0
2012,5,31,1.0,35.8,-75.55,24.0,7.7,,,,,0
2012,6,26,23.8,21.0,-156.4,24.3,,2.0,8.0,0.5,11.0,0
2013,9,25,17.0,29.73,-84.98,26.9,,,,,,0
2015,6,24,18.0,-29.2,154.0,17.0,5.1,1.0,3.0,1.0,3.0,0
2015,10,17,4.05,21.3,-158.1,27.9,,1.0,9.0,1.0,14.0,0
2016,7,26,17.0,-28.9,153.9,23.1,11.3,,,,,0
2016,9,11,11.5,29.98,-81.63,29.3,1.0,,,,,0
2011,4,22,6.0,28.42,-80.59,26.6,2.3,,,,,0
2011,7,5,0.0,10.3,-75.9,29.0,3.6,0.5,3.0,,,0
2013,7,22,18.0,-8.7,-34.2,26.4,7.7,1.0,4.0,2.0,11.0,0
2014,4,4,9.0,28.42,-80.59,22.9,2.6,,,,,0
2014,10,12,1.15,28.4,-80.5,27.9,,0.5,7.0,,,0
2015,5,20,13.0,28.42,-80.59,27.4,4.6,,,,,0
2013,3,31,19.0,-33.6,152.2,23.4,8.2,,,,,0
2013,8,29,20.42,33.9,-118.6,17.9,,0.5,6.0,0.5,17.0,0
